IntDate,Mode,s_Order,wellbeing_order,A1,A2,A3a,A4_order,A4_a,A4_b,A4_c,A4_d,A4_e,A5_order,A5_a,A5_b,A5_c,A5_d,A5_e,A5_f,A5_g,A5_h,B1_a,B1_b,B1_c,B1_d,B2,B3,B4,B5,B6,C1_a,C1_b,C1_c,C1_d,C1_e,C1_f,C1_g,C1_h,C1_i,C2_order,C2_a,C2_b,C2_c,C2_d,C2_e,C3_order,C3_a,C3_b,C3_c,C3_d,C3_e,C3_f,D1_a,D1_b,D1_c,D1_d,D1_e,D1_f,d2_order,D2_a,D2_b,D2_c,D2_d,D2_e,D3,D4,D5,D6,D8_order,D8_a,D8_b,D8_c,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E1_g,E1_h,E1_other,E2,E3,E3a,E4,E5,E6,E7_order,E7_a,E7_b,E7_c,E7_d,E7_e,E7_f,E7B_a,E7B_b,E7B_c,E7B_d,E8_a,E8_b,E8_c,E8_d,E8_e,E8_f,E8_g,E9,E10,E11,E12,E13,E14,E15,E16,E17_a,E17_b,E17_c,E17_d,E17_e,E17_f,E18_a,E18_b,E18_c,E18_d,E18_e,E18_f,E18_g,E18_h,E18_i,E18_j,E19,F1_order,F1_a,F1_b,F1_c,F1_d,F1_e,A3b,w35_A1,w35_A4,w35_A5,w35_A6,w35_B27,w35_C1,w35_C2,w35_C7,w35_F1,w35_F17a_1,w35_F17c,w35_F23,w35_F25,w35_F30,w35_F38,w35_F39,w35_F40,w35_F41,w35_F42,w34_A1,w34_A5,w34_C8a,w34_C8b,w34_C8c,w34_C8d,w34_C8e,w34_C9,w34_E1a,w34_E1b,w34_E1c,w34_E1d,w34_E1e,w34_E1f,w34_E1g,w34_E1h,w34_CARE1,w34_bushfire,w35_occ,p_state,p_region,p_geography,p_seifa,p_gender,p_age_group,d_cob_group,p_citizen,p_lote,p_atsi,p_house_str,p_education,p_volunteer,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap,weight
21-APR-2020,1,1,1,2,3,7,"c,b,d,a,e",2,2,2,2,2,"e,b,h,d,g,a,f,c",2,4,4,2,4,3,2,4,2,2,2,2, , ,2,2,4,1,1,1,1,1,2,2,1,1,"c,b,d,a,e",1,2,1,1,-97,"a,e,c,b,d,f",1,2,2,2,1,2,3,1,3,2,2,1,"c,b,d,a,e",1,2,1,4,1,8,8,8,1,"a,b,c",5,1,4,1,2,2,2,2,2,1,-99, ,1,1,1, , , ,"a,e,c,b,d,f",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,26,1,-99,4,-99,2,0,80,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"c,b,d,a,e",5,5,5,5,5, ,120,9,9,8,7,8,7,2,2,1,1,1,1,24, ,2,1,-99,2,2,7,3,2,2,2,1,2,2,1,1,1,2,2,1,1,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,2,4,1,1,1,.193486986294867
16-APR-2020,1,2,1,2,1,8,"d,a,b,c,e",2,2,2,1,3,"h,e,g,c,d,f,b,a",2,4,4,2,5,4,5,4,2,2,2,1, , ,2,2,5,1,1,1,1,1,1,2,1,2,"d,a,b,c,e",1,2,1,-97,-97,"d,b,c,f,e,a",1,2,2,1,1,1,2,2,2,2,1,1,"d,a,b,c,e",2,1,1,2,1,7,8,9,5,"a,c,b",5,2,4,1,2,2,2,2,1,2,1,Farming,8,-100, , , , , , , , , , , , , , , , , , , , , , ,-100,7,-99,4,-99,2,-100,-100,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,"d,a,b,c,e",5,5,5,5,5, ,60,7,8,6,5,7,6,1,2,1, ,3,1,2, ,2,7,-99,1,2,8,2,3,2,2,1,2,2,1,1,1,1,2,1,1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,2,4,1,1,1,.265148434424198
24-APR-2020,1,1,1,4,3,8,"c,a,d,b,e",4,2,3,2,2,"a,f,d,g,c,b,e,h",2,3,4,5,4,2,4,1,2,2,2,1, , ,2,1,5,1,1,1,1,1,1,1,1,1,"c,a,d,b,e",1,1,1,1,1,"e,a,b,f,c,d",1,1,2,2,2,1,4,2,2,5,3,1,"c,a,d,b,e",1,2,1,2,2,2,6,4,1,"b,a,c",5,2,4,1,2,2,2,2,2,1,1,Prep work for online training,1,2, ,1,1,3,"e,a,b,f,c,d",2,2,2,2,2,2,2,2,2,2, , , , , , , ,8,1,-99,4,-99,2,8,100,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"c,a,d,b,e",3,5,4,4,3, ,120,7,3,7,7,7,6,1,6,1,1, ,2,36, ,3,1,-99,1,4,7,4,3,2,4,1,2,2,2,1,1,2,1,1,2,2,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,2,2,1,1,4.26832725233802
15-APR-2020,1,1,2,2,3, ,"d,a,c,e,b",2,2,1,1,1,"c,a,h,e,f,g,d,b",4,4,5,2,4,3,2,4,2,2,2,2, , ,3,2,5,2,1,1,2,2,2,1,1,1,"d,a,c,e,b",1,3,1,-97,-97,"e,b,a,d,c,f",1,2,1,1,1,2,2,2,2,3,2,1,"d,a,c,e,b",1,1,1,4,1,8,7,8,1,"b,a,c",4,3,4,2,2,2,2,2,1,1,1,"Walking dog, gardening, sewing, etc.",6, , , , , , , , , , , , , , , , , , , , , , , , ,4,-99,4,-99,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"d,a,c,e,b",5,5,5,5,5,8,30,5,5,7,7,7,5,2,2,2, ,2,2,42, ,3,4,-99,2,2,6,3,2,2,3,1,1,2,1,1,1,1,1,2,1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,4,2,1,1,.518365626334631
15-APR-2020,1,2,1,1,3,9,"e,a,d,b,c",2,1,3,1,1,"g,d,h,c,b,a,e,f",1,2,1,4,2,5,1,1,2,2,2,1, , ,2,1,5,2,2,1,2,2,2,1,1,1,"e,a,d,b,c",1,1,1,-97,-97,"c,a,d,e,b,f",1,2,2,1,1,2,2,1,1,1,1,1,"e,a,d,b,c",1,1,1,4,1,4,6,8,1,"c,a,b",5,2,2,2,2,2,2,2,1,1,-98, ,6, , , , , , , , , , , , , , , , , , , , , , , , ,7,-99,4,-99,1, , ,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,"e,a,d,b,c",5,5,4,5,5, ,90,7,7,8,9,10,6,1,2,2,6,3,1,42, ,2,4,-99,1,4,9,4,3,2,4,1,2,2,2,2,1,2,2,2,1,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,4,2,1,1,1.08874723117572
17-APR-2020,1,1,1,2,1,8,"a,b,d,e,c",2,2,2,1,2,"h,f,e,a,c,b,g,d",3,3,4,2,4,4,4,4,2,2,2,1, , ,3,2,4,1,1,1,2,2,2,2,1,2,"a,b,d,e,c",1,2,2,5,-97,"f,a,c,b,e,d",1,1,2,2,1,2,2,1,3,1,1,1,"a,b,d,e,c",1,1,2,2,1,7,7,6,1,"c,b,a",4,2,2,1,2,2,2,2,2,1,2, ,1,1,2, , , , , , , , , , , , , , ,2,2,2,2,2,2,2,30,1,-99,4,-99,1,10,80,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"a,b,d,e,c",5,5,5,5,5, ,60,5,7,7,7,7,2,2,2,1, ,2,2,30, ,3,1,-99,1,2,7,3,2,2,3,2,1,2,2,1,1,2,2,1,1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,3,2,1,1,1.10288736623245
21-APR-2020,2,1,1,2,1,8,"a,d,b,e,c",2,2,2,1,1,"f,c,b,h,e,a,g,d",2,2,2,3,2,2,4,2,2,2,2,1, , ,3,1,4,2,1,1,1,1,2,2,1,2,"a,d,b,e,c",2,2,1,-97,1,"f,b,e,c,d,a",2,1,1,1,1,1,2,1,2,1,1,1,"a,d,b,e,c",1,1,1,2,3,8,4,4,1,"c,b,a",5,1,2,2,2,2,2,2,1,1,1,Garderning and sewing and craft stuff,6, , , , , , , , , , , , , , , , , , , , , , , , ,4,-99,4,-99,2, , ,2,2,2,2,2,2,1,2,1,2,1,2,2,1,2,2,2,"a,d,b,e,c",5,5,5,5,5, ,60,3,3,6,8,8,7,3,2,2,88,3,2,5, ,3,4,-99,3, , , , , , , , , , , , , , , , , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,2,4,3,1,1,.847619241018094
18-APR-2020,1,2,1,2,3,7,"c,b,d,a,e",3,2,3,2,2,"f,g,b,c,a,d,e,h",3,2,2,4,3,3,3,2,2,2,2,2, , ,2,2,2,2,1,1,1,1,2,1,1,2,"c,b,d,a,e",2,2,2,-97,-97,"d,f,e,b,a,c",2,2,1,2,1,2,2,1,3,2,1,1,"c,b,d,a,e",1,1,2,3,1,8,8,8,6,"a,b,c",4,2,3,2,2,2,2,1,1,2,2, ,5, , , , , , , , , , , , , , , , , , , , , , , , ,1,-99,4,-99,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"c,b,d,a,e",5,5,5,5,5, ,30,8,7,8,8,7,5,2,2,2,5,3,2,46, ,1,1,-99,2,4,8,3,2,2,3,1,2,2,1,2,1,1,2,1,1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,1,3,2,1,1,1.53461388698913
14-APR-2020,2,1,1,1,1,8,"a,d,b,e,c",2,2,1,1,2,"d,b,g,e,a,h,c,f",2,4,4,1,4,3,3,4,2,2,2,2, , ,2,2,5,2,1,1,1,1,-99,2,2,2,"a,d,b,e,c",1,4,1,5,1,"b,e,f,c,a,d",1,2,2,1,1,2,1,1,3,2,1,1,"a,d,b,e,c",1,1,1,4,1,10,10,10,6,"b,c,a",5,1,5,2,2,2,2,1,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,4,-99,4,-99,2, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"a,d,b,e,c",5,5,5,5,5, ,180,8,8,6,5,9,7,4,1,2,96,3,2,40, ,3,4,-99,4, , , , , , , , , , , , , , , , , , ,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,2,4, ,1,1,.378523450235633
15-APR-2020,1,1,1,2,1,8,"b,a,d,c,e",2,2,2,3,2,"a,f,d,e,h,c,g,b",5,3,4,4,3,2,4,3,2,2,2,2, , ,3,2,4,2,1,1,1,1,1,2,1,1,"b,a,d,c,e",1,1,1,1,-97,"a,d,e,f,c,b",1,2,2,2,1,2,1,1,2,1,1,1,"b,a,d,c,e",1,1,1,1,1,8,8,6,1,"a,c,b",3,3,4,2,2,2,2,2,2,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,1,-99,4,-99,1, , ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,"b,a,d,c,e",5,5,5,5,5, ,30,7,7,6,8,9,2,2,3,1,1,3,1,20,2,3,1,-99,2,4,9,3,2,2,3,1,2,2,1,2,1,2,2,2,1,2,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,2,3,2,1,1,1.79035991300548
