srcid,Mode,A1,A2,undecided_voter,A3a,A4_a,A4_b,A4_c,A4_d,A4_e,A5_a,A5_b,A5_c,A5_d,A5_e,A5_f,A5_g,A5_h,B1_a,B1_b,B1_c,B1_d,B4,B5,B6,C1_a,C1_b,C1_c,C1_d,C1_e,C1_f,C1_g,C1_h,C1_i,C3_a,C3_b,C3_c,C3_d,C3_e,C3_f,D1_a,D1_b,D1_c,D1_d,D1_e,D1_f,E1_a,E1_b,E1_c,E1_d,E1_e,E1_f,E1_g,E1_h,E10,E14,p_volunteer,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,StateMap,A4A5_agg,opinionated
1,”1”,2,”3”,FALSE,7,2,2,2,2,2,2,4,4,2,4,3,2,4,2,2,2,2,2,2,4,1,1,1,1,1,2,2,1,1,1,2,2,2,1,2,3,1,3,2,2,1,1,2,2,2,2,2,1,-99,1,2,1,”2”,4,1,1,1,0.388888889,FALSE
2,”1”,2,”1”,FALSE,8,2,2,2,1,3,2,4,4,2,5,4,5,4,2,2,2,1,2,2,5,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,1,7,2,1,”2”,4,1,1,1,0.538888889,TRUE
3,”1”,4,”3”,FALSE,8,4,2,3,2,2,2,3,4,5,4,2,4,1,2,2,2,1,2,1,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,4,2,2,5,3,1,1,2,2,2,2,2,1,1,1,2,1,”1”,2,2,1,1,0.511111111,TRUE
4,”1”,2,”3”,FALSE,,2,2,1,1,1,4,4,5,2,4,3,2,4,2,2,2,2,3,2,5,2,1,1,2,2,2,1,1,1,1,2,1,1,1,2,2,2,2,3,2,1,2,2,2,2,2,1,1,1,4,2,2,”2”,4,2,1,1,0.616666667,TRUE
5,”1”,1,”3”,FALSE,9,2,1,3,1,1,1,2,1,4,2,5,1,1,2,2,2,1,2,1,5,2,2,1,2,2,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,1,1,-98,7,1,1,”1”,4,2,1,1,0.783333333,TRUE
6,”1”,2,”1”,FALSE,8,2,2,2,1,2,3,3,4,2,4,4,4,4,2,2,2,1,3,2,4,1,1,1,2,2,2,2,1,2,1,1,2,2,1,2,2,1,3,1,1,1,1,2,2,2,2,2,1,2,1,1,2,”2”,3,2,1,1,0.427777778,FALSE
7,”2”,2,”1”,FALSE,8,2,2,2,1,1,2,2,2,3,2,2,4,2,2,2,2,1,3,1,4,2,1,1,1,1,2,2,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,1,4,2,1,”2”,4,3,1,1,0.522222222,TRUE
8,”1”,2,”3”,FALSE,7,3,2,3,2,2,3,2,2,4,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,1,2,1,2,2,1,3,2,1,1,2,2,2,2,1,1,2,2,1,2,2,”1”,3,2,1,1,0.305555556,FALSE
9,”2”,1,”1”,FALSE,8,2,2,1,1,2,2,4,4,1,4,3,3,4,2,2,2,2,2,2,5,2,1,1,1,1,-99,2,2,2,1,2,2,1,1,2,1,1,3,2,1,1,2,2,2,2,1,2,2,2,4,2,2,”2”,4,,1,1,0.55,TRUE
10,”1”,2,”1”,FALSE,8,2,2,2,3,2,5,3,4,4,3,2,4,3,2,2,2,2,3,2,4,2,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,1,2,1,1,1,”2”,3,2,1,1,0.361111111,FALSE
11,”1”,4,”4”,FALSE,2,3,3,3,3,3,3,2,1,4,3,5,2,2,2,2,2,1,3,2,5,1,1,1,2,1,2,1,2,2,1,2,2,2,2,2,2,4,1,4,3,4,1,2,2,2,2,2,2,2,2,4,2,”2”,3,3,1,1,0.416666667,FALSE
12,”1”,2,”1”,FALSE,6,1,1,1,1,1,2,3,3,2,3,2,3,3,2,2,2,1,2,2,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,3,1,2,2,2,2,2,1,2,1,2,1,”1”,2,1,1,1,0.611111111,TRUE
13,”2”,1,”1”,FALSE,,1,2,2,2,1,2,4,4,1,3,2,4,4,2,2,2,1,2,3,4,2,1,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,7,1,1,”2”,4,3,1,1,0.577777778,TRUE
14,”1”,4,”1”,FALSE,6,3,3,3,2,1,4,3,2,5,3,4,3,3,2,2,2,2,3,2,4,2,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,2,”1”,3,2,1,1,0.4,FALSE
15,”1”,2,”1”,FALSE,,2,3,3,3,3,4,1,2,4,2,4,2,2,2,2,2,2,3,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,3,1,3,4,3,1,2,2,2,2,2,1,1,2,4,2,2,”2”,3,,3,3,0.444444444,FALSE
16,”2”,1,”1”,FALSE,9,1,1,1,1,1,3,4,5,1,4,2,4,4,2,2,2,1,2,1,5,1,1,1,1,1,2,2,1,1,1,1,2,2,1,2,4,2,2,3,3,1,2,1,2,2,2,1,1,2,7,1,1,”2”,4,2,1,1,0.805555556,TRUE
17,”1”,4,”3”,FALSE,,3,3,3,1,1,2,2,2,4,2,3,2,2,2,2,2,2,3,2,4,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,2,7,1,2,”2”,4,1,1,1,0.522222222,TRUE
